ct,frequency,band,bandwidth,cell_id,rsrp,rssi,rsrq,bler,tx_power,plmn,tac,drx,emm_state,rrc_state,net_op_mode,emm_cause,esm_cause,time_boot_ms,lat,lon,alt,relative_alt
20220901T093548,2600,5,10,413(0x19d),-71,50,-8,0,-5,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,100179,379531167,1287700860,7340,-534
20220901T093550,2600,5,10,413(0x19d),-71,50,-8,0,-7,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,102176,379531165,1287700861,7340,-531
20220901T093553,2600,5,10,413(0x19d),-71,50,-8,0,-15,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,105838,379531162,1287700862,7540,-332
20220901T093555,2600,5,10,413(0x19d),-71,50,-8,0,-6,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,107836,379531157,1287700858,7580,-291
20220901T093557,2600,5,10,413(0x19d),-71,50,-8,0,-5,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,109834,379531153,1287700853,7640,-232
20220901T093559,2600,5,10,413(0x19d),-71,50,-8,0,-11,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,111834,379531163,1287700853,7740,-136
20220901T093601,2600,5,10,413(0x19d),-71,50,-8,0,-17,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,113831,379531164,1287700852,7770,-100
20220901T093603,2600,5,10,413(0x19d),-65,42,-8,0,-5,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,115829,379531156,1287700851,7820,-55
20220901T093605,2600,5,10,413(0x19d),-65,42,-8,0,-3,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,117826,379531162,1287700849,7840,-31
20220901T093607,2600,5,10,413(0x19d),-65,42,-8,0,-20,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,119824,379531332,1287700925,8340,467
20220901T093610,2600,5,10,413(0x19d),-65,42,-8,0,-25,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,122156,379531361,1287700936,7920,47
20220901T093612,2600,5,10,413(0x19d),-65,42,-8,0,-13,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,124486,379531517,1287700878,8360,484
20220901T093614,2600,5,10,413(0x19d),-65,42,-8,0,-14,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,126484,379531509,1287700884,8120,245
20220901T093616,2600,5,10,413(0x19d),-65,42,-8,0,-17,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,128482,379531516,1287700882,8150,272
20220901T093618,2600,5,10,413(0x19d),-65,42,-8,0,-20,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,130482,379531514,1287700875,8170,297
20220901T093620,2600,5,10,413(0x19d),-65,42,-8,0,-5,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,132479,379531515,1287700877,8120,248
