ct,frequency,band,bandwidth,cell_id,rsrp,rssi,rsrq,bler,tx_power,plmn,tac,drx,emm_state,rrc_state,net_op_mode,emm_cause,esm_cause,time_boot_ms,lat,lon,alt,relative_alt
20220831T050002,2600,5,10,149(0x95),-108,80,-10,0,0,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,771789,377451757,1273503588,255800,-398
20220831T050004,2600,5,10,149(0x95),-108,80,-10,0,22,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,773787,377451754,1273503587,255760,-438
20220831T050006,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,775784,377451754,1273503587,255760,-437
20220831T050008,2600,5,10,149(0x95),-108,80,-10,0,20,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,777784,377451754,1273503586,255740,-451
20220831T050011,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,780779,377451753,1273503586,255720,-479
20220831T050013,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,782779,377451750,1273503591,255710,-481
20220831T050015,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,784776,377451750,1273503592,255740,-450
20220831T050017,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,786774,377451751,1273503593,255750,-441
20220831T050019,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,788772,377451751,1273503593,255690,-506
20220831T050021,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,790769,377451751,1273503592,255700,-490
20220831T050024,2600,5,10,149(0x95),-108,80,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,794099,377451759,1273503587,255700,-492
20220831T050026,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,796097,377451765,1273503582,255700,-493
20220831T050028,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,798097,377451767,1273503580,255710,-483
20220831T050030,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,800094,377451769,1273503578,255690,-509
20220831T050032,2600,5,10,149(0x95),-108,87,-10,0,23,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,802092,377451772,1273503576,255680,-514
20220831T050207,2600,5,10,149(0x95),-112,82,-11,0,0,450f06,24741,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,896997,377452003,1273503380,255560,-638
