ct,frequency,band,bandwidth,cell_id,rsrp,rssi,rsrq,bler,tx_power,plmn,tac,drx,emm_state,rrc_state,net_op_mode,emm_cause,esm_cause,time_boot_ms,lat,lon,alt,relative_alt
20220901T093458,2600,5,10,413(0x19d),-71,43,-8,0,-6,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,49524,379532045,1287699275,8250,607
20220901T093500,2600,5,10,413(0x19d),-71,43,-8,0,-12,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,51532,379531970,1287699155,7370,31
20220901T093502,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,53532,379531953,1287699155,6810,-67
20220901T093504,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,55862,379531928,1287699158,12940,-133
20220901T093506,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,57859,379531917,1287699165,12860,-216
20220901T093508,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,59857,379531972,1287699170,12850,-225
20220901T093510,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,61857,379531966,1287699175,12750,-326
20220901T093512,2600,5,10,413(0x19d),-71,43,-8,0,-4,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,63854,379531955,1287699176,12710,-365
20220901T093514,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,65852,379531950,1287699180,12630,-443
20220901T093517,2600,5,10,413(0x19d),-71,43,-8,0,5,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,68182,379531942,1287699183,12690,-382
20220901T093519,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,70182,379531936,1287699270,13460,388
20220901T093521,2600,5,10,413(0x19d),-71,43,-8,0,-10,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,72179,379531855,1287699582,13560,488
20220901T093523,2600,5,10,413(0x19d),-71,43,-8,0,-11,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,74177,379531744,1287699847,13460,389
20220901T093525,2600,5,10,413(0x19d),-71,43,-8,0,-21,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,76174,379531564,1287700063,13510,431
20220901T093527,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,78172,379531419,1287700242,13480,403
20220901T093529,2600,5,10,413(0x19d),-71,43,-8,0,-8,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,80172,379531226,1287700151,13380,304
20220901T093531,2600,5,10,413(0x19d),-71,43,-8,0,0,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,82169,379531055,1287700114,13000,-71
20220901T093533,2600,5,10,413(0x19d),-71,50,-8,0,1,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,84167,379531043,1287700109,12710,-367
20220901T093536,2600,5,10,413(0x19d),-71,50,-8,0,-12,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,87165,379531042,1287700105,12680,-391
20220901T093538,2600,5,10,413(0x19d),-71,50,-8,0,-15,450f06,18640,1280,REGISTERED,CONNECTED,CS_PS_MODE1,18,0,89162,379531040,1287700103,12640,-431
